deployment_level,mach,cd
0.0,0.0,0.0
0.0,0.1,0.0
0.0,0.2,0.0
0.0,0.3,0.0
0.0,0.4,0.0
0.0,0.5,0.0
0.0,0.6,0.0
0.0,0.7,0.0
0.0,0.8,0.0
0.0,0.9,0.0
0.0,1.0,0.0
0.0,1.1,0.0
0.0,1.2,0.0
0.0,1.3,0.0
0.0,1.4,0.0
0.0,1.5,0.0
0.1,0.0,0.0
0.1,0.1,0.0
0.1,0.2,0.0
0.1,0.3,0.09
0.1,0.4,0.044
0.1,0.5,0.052
0.1,0.6,0.152
0.1,0.7,0.102
0.1,0.8,0.116
0.1,0.9,0.044
0.1,1.0,0.0
0.1,1.1,0.0
0.1,1.2,0.0
0.1,1.3,0.0
0.1,1.4,0.0
0.1,1.5,0.0
0.2,0.0,0.0
0.2,0.1,0.044
0.2,0.2,0.124
0.2,0.3,0.186
0.2,0.4,0.152
0.2,0.5,0.14
0.2,0.6,0.258
0.2,0.7,0.204
0.2,0.8,0.23
0.2,0.9,0.168
0.2,1.0,0.036
0.2,1.1,0.0
0.2,1.2,0.0
0.2,1.3,0.0
0.2,1.4,0.0
0.2,1.5,0.0
0.3,0.0,0.0
0.3,0.1,0.112
0.3,0.2,0.212
0.3,0.3,0.294
0.3,0.4,0.278
0.3,0.5,0.278
0.3,0.6,0.366
0.3,0.7,0.338
0.3,0.8,0.366
0.3,0.9,0.298
0.3,1.0,0.186
0.3,1.1,0.14
0.3,1.2,0.14
0.3,1.3,0.14
0.3,1.4,0.14
0.3,1.5,0.14
0.4,0.0,0.0
0.4,0.1,0.24
0.4,0.2,0.338
0.4,0.3,0.428
0.4,0.4,0.39
0.4,0.5,0.428
0.4,0.6,0.524
0.4,0.7,0.506
0.4,0.8,0.542
0.4,0.9,0.506
0.4,1.0,0.384
0.4,1.1,0.328
0.4,1.2,0.328
0.4,1.3,0.328
0.4,1.4,0.328
0.4,1.5,0.328
0.5,0.0,0.0
0.5,0.1,0.434
0.5,0.2,0.434
0.5,0.3,0.55
0.5,0.4,0.514
0.5,0.5,0.568
0.5,0.6,0.698
0.5,0.7,0.68
0.5,0.8,0.72
0.5,0.9,0.68
0.5,1.0,0.576
0.5,1.1,0.506
0.5,1.2,0.506
0.5,1.3,0.506
0.5,1.4,0.506
0.5,1.5,0.506
0.6,0.0,0.0
0.6,0.1,0.49
0.6,0.2,0.576
0.6,0.3,0.764
0.6,0.4,0.72
0.6,0.5,0.764
0.6,0.6,0.914
0.6,0.7,0.89
0.6,0.8,0.894
0.6,0.9,0.868
0.6,1.0,0.806
0.6,1.1,0.72
0.6,1.2,0.72
0.6,1.3,0.72
0.6,1.4,0.72
0.6,1.5,0.72
0.7,0.0,0.0
0.7,0.1,0.64
0.7,0.2,0.784
0.7,0.3,0.974
0.7,0.4,0.952
0.7,0.5,0.952
0.7,0.6,1.128
0.7,0.7,1.054
0.7,0.8,1.062
0.7,0.9,1.054
0.7,1.0,1.04
0.7,1.1,0.974
0.7,1.2,0.974
0.7,1.3,0.974
0.7,1.4,0.974
0.7,1.5,0.974
0.8,0.0,0.0
0.8,0.1,0.852
0.8,0.2,1.014
0.8,0.3,1.136
0.8,0.4,1.076
0.8,0.5,1.076
0.8,0.6,1.234
0.8,0.7,1.226
0.8,0.8,1.248
0.8,0.9,1.226
0.8,1.0,1.04
0.8,1.1,1.182
0.8,1.2,1.182
0.8,1.3,1.182
0.8,1.4,1.182
0.8,1.5,1.182
0.9,0.0,0.0
0.9,0.1,1.014
0.9,0.2,1.136
0.9,0.3,1.226
0.9,0.4,1.2
0.9,0.5,1.218
0.9,0.6,1.368
0.9,0.7,1.368
0.9,0.8,1.404
0.9,0.9,1.416
0.9,1.0,1.248
0.9,1.1,1.348
0.9,1.2,1.348
0.9,1.3,1.348
0.9,1.4,1.348
0.9,1.5,1.348
1.0,0.0,0.0
1.0,0.1,1.864
1.0,0.2,1.864
1.0,0.3,1.864
1.0,0.4,1.764
1.0,0.5,1.596
1.0,0.6,1.85
1.0,0.7,1.764
1.0,0.8,1.832
1.0,0.9,1.62
1.0,1.0,1.678
1.0,1.1,1.596
1.0,1.2,1.596
1.0,1.3,1.596
1.0,1.4,1.596
1.0,1.5,1.596
1.1,0.0,0.0
1.1,1.2,0.0
1.1,1.3,0.0
1.1,1.4,0.0
1.1,1.5,0.0
